0.04073803127 0.005137954839 1 0  0.369381994 -0.3452661633 0.406360507 -0.3602162004  1.01469481 -0.6524558067
0.04120974615 0.005272427108 1 0  0.3801740408 -0.347591579 0.4177216291 -0.3621003032  1.015330315 -0.6500717998
0.04168693721 0.005404199008 1 0  0.3910951912 -0.3499813378 0.42922315 -0.3640586436  1.015987635 -0.6476246119
0.04216964543 0.005532737356 1 0  0.4021311402 -0.3524324 0.4408503473 -0.3660880327  1.016666174 -0.6451175213
0.04265794903 0.005657506641 1 0  0.4132665694 -0.3549412191 0.4525877833 -0.3681849539  1.017365575 -0.6425544024
0.0431519188 0.005777998362 1 0  0.4244856238 -0.357503742 0.4644196332 -0.3703455329  1.018085837 -0.6399393082
0.04365158454 0.005893721711 1 0  0.435772121 -0.3601155281 0.4763291776 -0.3725652695  1.018828273 -0.6372771859
0.0441570431 0.006004205439 1 0  0.4471088052 -0.3627717197 0.4882991612 -0.3748393059  1.019589305 -0.6345728636
0.04466836527 0.006109017879 1 0  0.4584791958 -0.3654671609 0.5003125072 -0.3771624565  1.020371795 -0.6318317652
0.04518559575 0.006207773928 1 0  0.4698659778 -0.3681964278 0.5123516321 -0.3795293868  1.021173 -0.6290594935
0.04570882395 0.006300117821 1 0  0.4812522531 -0.3709537983 0.5243995786 -0.381934315  1.02199316 -0.6262618899
0.04623809829 0.006385751534 1 0  0.4926214218 -0.3737334907 0.5364391804 -0.3843714297  1.022831082 -0.6234449148
0.04677350819 0.006464419886 1 0  0.5039572716 -0.3765296638 0.5484539866 -0.3868348897  1.023687243 -0.6206145287
0.04731513187 0.006535931956 1 0  0.5152440071 -0.3793364763 0.5604279041 -0.389318645  1.024560094 -0.6177764535
0.04786300659 0.006600133143 1 0  0.5264667273 -0.3821481764 0.5723457336 -0.3918170631  1.025448918 -0.6149368286
0.04841724038 0.00665693311 1 0  0.5376113057 -0.3849591613 0.5841928124 -0.3943241537  1.026352763 -0.6121011376
0.0489778854 0.006706281565 1 0  0.5486641526 -0.387763828 0.5959556699 -0.3968344629  1.027272463 -0.6092748642
0.04954502732 0.006748182699 1 0  0.5596128106 -0.3905571103 0.6076213121 -0.3993425965  1.028205037 -0.6064634323
0.05011872202 0.006782682613 1 0  0.5704458952 -0.3933340311 0.6191781759 -0.401843518  1.02915144 -0.6036713719
0.05069906637 0.006809871178 1 0  0.5811524391 -0.3960899115 0.6306153536 -0.40433231  1.030110836 -0.6009036899
0.05128613487 0.00682987459 1 0  0.5917232633 -0.39882043 0.6419231892 -0.4068045318  1.031081319 -0.5981644392
0.0518799983 0.006842848845 1 0  0.6021494269 -0.4015216231 0.6530926824 -0.4092560112  1.032063484 -0.5954575539
0.05248074606 0.006848983932 1 0  0.6124233603 -0.4041898251 0.6641162634 -0.411682874  1.033056617 -0.5927866697
0.05308844149 0.006848493125 1 0  0.6225380898 -0.406821847 0.6749867797 -0.4140816033  1.034060597 -0.5901548266
0.05370318517 0.006841614377 1 0  0.6324877739 -0.4094146192 0.6856984496 -0.4164490998  1.035072565 -0.5875649452
0.05432503298 0.006828596815 1 0  0.642267406 -0.411965698 0.6962460876 -0.4187825918  1.0360955 -0.5850195885
